Mon-Yr,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Tuolumne,Ventura,Yolo,Yuba,,Condo,LA Metro,Central Coast,Central Valley,Far North,Inland Empire,S.F. Bay Area,SoCal
33512,196021,221656,NA,98332.5,NA,NA,NA,NA,103695.467391304,NA,110713.75,92000,NA,NA,NA,209255.510571112,NA,342307,NA,113749.3125,96666,NA,195624,185000,NA,229203.159556012,182500,NA,143245.053657364,135000,NA,137631,183088,275862,124500,175512.63535322,323750,229466.353955995,250000,238888,NA,NA,NA,190893,NA,NA,NA,89229.8461538462,NA,232540,NA,NA,,145610,209950.337936898,NA,NA,NA,NA,231508.94616558,NA
33543,194192,221098,NA,120624.96875,NA,NA,NA,NA,97499.25,NA,104999.75,92045,NA,NA,NA,202237.291667054,NA,367856,NA,180000,103571,NA,215000,200000,NA,234984.275425621,170560,NA,147575.549105857,130000,NA,132325,181639,282608,110455,188412.06581647,331666,257453.369488237,245980,249218,NA,NA,NA,190513,NA,NA,NA,98213.4642857143,NA,228070,NA,NA,,145230,209350.900418944,NA,NA,NA,NA,235117.768145575,NA
33573,199452,228195,NA,124545.227272727,NA,NA,NA,NA,93946.9736842105,NA,94999.5,89047,NA,NA,NA,222829.235187261,NA,355882,NA,141666.583333333,98928,NA,200000,183333,NA,239190.3695333,167500,NA,138861.177907637,135000,NA,134469,188817,279310,114285,189331.403668435,310606,217757.003820453,256250,240972,NA,NA,NA,197692,NA,NA,NA,91666.5,NA,227220,NA,NA,,146520,211303.438756718,NA,NA,NA,NA,232915.513738984,NA
33604,196410,212500,NA,122307.576923077,NA,NA,NA,NA,91363.5,NA,103333.166666667,85833,NA,NA,NA,213951.086514252,NA,346428,NA,131249.4375,108124,NA,200000,188571,NA,222302.183047458,179370,NA,142836.440258561,134000,NA,136021,182978,267262,117999,218777.515793652,300000,214115.761442719,245060,255000,NA,111666.083333333,NA,193548,114166,NA,NA,95999.4,NA,225900,NA,NA,,144790,204851.758460325,NA,NA,NA,NA,225646.894091441,NA
33635,198220,213194,NA,128888.444444444,NA,NA,NA,NA,99641.8928571429,NA,96110.5,89249,NA,NA,NA,207017.980591791,NA,293478,NA,137999.1,107142,NA,182500,194999,NA,220655.003832653,173330,NA,143201.997132797,135000,NA,135342,177884,268750,116999,222113.710548437,322807,247231.597992967,243370,247708,NA,74999.5,NA,195806,112857,NA,NA,100000,NA,221200,NA,NA,,145280,214044.239820542,NA,NA,NA,NA,229371.833295389,NA
33664,200500,222837,NA,115453.772727273,NA,NA,NA,NA,97570.6714285714,NA,104999.75,95799,NA,NA,NA,218844.302877529,NA,364062,NA,143333.166666667,108124,NA,216666,200000,NA,230395.327924571,177500,NA,140770.057840765,132500,NA,134592,187428,272222,111786,175300.327948287,326190,249053.641332689,251680,247115,NA,76249.375,NA,198666,116086,NA,NA,102352.823529412,NA,222340,NA,NA,,148830,217514.292156405,NA,NA,NA,NA,233111.775707336,NA
33695,198700,226946,NA,122692.173076923,NA,NA,NA,NA,98224.9838709677,NA,110713.75,91750,NA,NA,NA,211762.367372406,NA,315454,NA,144999.75,100667,NA,216304,189285,NA,226305.418321819,165310,NA,137914.591876305,133500,NA,138428,182727,281418,119444,175157.896228544,300000,240990.30103595,254670,258593,NA,75999.4,NA,198867,115714,NA,NA,96666,NA,228900,NA,NA,,149190,220183.62482486,NA,NA,NA,NA,231790.676437558,NA
33725,203420,221220,NA,117367.552631579,NA,NA,NA,NA,101636.281818182,NA,106874.65625,87592,NA,NA,NA,204440.093427922,NA,350000,NA,138999.05,101500,NA,191000,185000,NA,237872.00722533,184740,NA,140050.87878033,132000,NA,136619,190481,277419,125357,180780.974909118,324609,227995.105270576,267120,243303,NA,84999.5,NA,205063,118999,NA,NA,98570.5714285714,NA,221100,NA,NA,,146540,217746.801934695,NA,NA,NA,NA,239576.31746604,NA
33756,199460,229885,NA,122608.565217391,NA,NA,NA,NA,103399.83,NA,112173.304347826,87833,NA,NA,NA,211278.13325544,NA,342045,NA,120000,102857,NA,193500,189090,NA,229516.109110598,190000,NA,144140.710925184,133000,NA,133521,182937,288207,115909,196843.756893331,332692,253103.271068846,256010,235000,NA,82856.8571428571,NA,207353,119486,NA,NA,90000,NA,219910,NA,NA,,146990,218198.156857636,NA,NA,NA,NA,238394.763706453,NA
33786,199150,222153,NA,115554.777777778,NA,NA,NA,NA,99826.6034482759,NA,109999.5,92353,NA,NA,NA,221819.560605671,NA,350925,NA,126666.333333333,105000,NA,200833,203125,NA,225313.071745763,176250,NA,146234.078144581,132000,NA,137449,188218,275819,117727,185883.345698982,336315,240191.932724119,253540,243478,NA,101111.055555556,NA,195686,113600,NA,NA,95499.45,NA,234460,NA,NA,,145590,216777.07906131,NA,NA,NA,NA,241488.151664301,NA
33817,194670,223511,NA,111578.368421053,NA,NA,NA,NA,96963.5892857143,NA,109166.208333333,91842,NA,NA,NA,212099.292987957,NA,369736,NA,135999.2,106666,NA,188999,185714,NA,228781.34122148,185000,NA,142936.834246052,132000,NA,134537,178986,279166,112143,183529.217952096,320513,248488.372062719,242810,225694,NA,90000,NA,197599,114838,NA,NA,100434.760869565,NA,228400,NA,NA,,147840,208580.382709586,NA,NA,NA,NA,236351.722017063,NA
33848,195840,219496,NA,120588.205882353,NA,NA,NA,NA,107368.052631579,NA,111666.083333333,97083,NA,NA,NA,212738.062378612,NA,320238,NA,111110.555555556,99374,NA,193333,186666,NA,224886.294018206,165560,NA,146805.591307796,131200,NA,132948,185909,276666,110556,179841.519281388,316316,225047.153021266,244750,245237,NA,88332.5,NA,198490,115869,NA,NA,91666.5,NA,219190,NA,NA,,140770,203014.347811468,NA,NA,NA,NA,232734.004363753,NA
33878,194000,214925,NA,118124.09375,NA,NA,NA,NA,104126.777777778,NA,110832.791666667,90588,NA,NA,NA,201149.078433662,NA,333333,NA,116665.833333333,97777,NA,186470,192222,NA,221800.094982262,169050,NA,141658.799790388,130000,NA,136829,182313,265151,118333,189278.701095549,315555,239314.512731374,243530,247595,NA,90000,NA,199761,117825,NA,NA,98999.1,NA,214120,NA,NA,,146160,205574.542053271,NA,NA,NA,NA,232588.551145093,NA
33909,189670,217514,NA,127646.676470588,NA,NA,NA,NA,96606.4821428571,NA,115651.391304348,96666,NA,NA,NA,207082.981681997,NA,330909,NA,140000,89582,NA,187646,188333,NA,221393.988561283,171250,NA,143192.85731561,130000,NA,136703,181709,258019,115416,177853.138067057,323500,217575.603549722,239620,234166,NA,83333,NA,195000,115773,NA,NA,96666,NA,221340,NA,NA,,146130,216946.029236553,NA,NA,NA,NA,235575.782360033,NA
33939,193330,222321,NA,109499.525,NA,NA,NA,NA,94482.3103448276,NA,105789.184210526,92000,NA,NA,NA,214005.228021544,NA,338000,NA,137999.1,110769,NA,193333,173749,NA,226062.600007051,162630,NA,138242.945735705,132500,NA,134562,180571,258807,107499,181857.137643613,303571,208607.717183005,253130,222825,NA,100000,NA,201712,113721,NA,NA,94499.55,NA,217050,NA,NA,,141180,206924.134045304,NA,NA,NA,NA,230941.288615901,NA
33970,191670,209583,NA,113332.666666667,NA,NA,NA,NA,94444,NA,109999.5,86071,NA,NA,NA,207810.465559602,NA,310294,NA,120000,106999,NA,185000,177999,NA,213493.947055094,174170,NA,131548.489073266,129200,NA,135444,174895,258772,113333,196819.879269495,312903,224104.460911631,246000,244530,NA,79165.75,NA,194411,96818,NA,NA,95999.4,NA,203670,NA,NA,,140450,205932.490053389,NA,NA,NA,NA,232936.845331015,NA
34001,187440,201699,NA,113999.3,NA,NA,NA,NA,98999.1,NA,114443.722222222,84000,NA,NA,NA,195680.984089529,NA,323333,NA,120000,90833,NA,209615,188750,NA,210185.515925408,154610,NA,137423.502275054,125500,NA,135000,176960,251667,114285,179858.153450611,310000,256471.476438459,242240,243269,NA,84999.5,NA,191290,113611,NA,NA,109999.5,NA,202660,NA,NA,,142580,204997.934161782,NA,NA,NA,NA,226437.929695941,NA
34029,189130,216313,NA,110999.45,NA,NA,NA,NA,95178.0535714286,NA,104999.75,85000,NA,NA,NA,198013.209173023,NA,330263,NA,123333.166666667,87777,NA,219642,174999,NA,213593.103778916,175000,NA,136931.956999395,130000,NA,139422,173481,266101,108333,192204.517107975,313855,219074.056721548,243510,230921,NA,80000,NA,190500,116341,NA,NA,87306.9615384615,NA,215290,NA,NA,,144060,206555.698796587,NA,NA,NA,NA,230008.378885815,NA
34060,192600,219999,NA,114999.25,NA,NA,NA,NA,96363,NA,115713.5,91458,NA,NA,NA,197547.377555913,NA,315625,NA,114544.727272727,104285,NA,203676,185000,NA,207998.355398936,160000,NA,131011.55586831,130000,NA,132745,177710,265530,118420,176130.4604448,306044,244276.225397068,242740,237121,NA,94999.5,NA,195365,117096,NA,NA,94230.3461538462,NA,213280,NA,NA,,144480,213719.206535106,NA,NA,NA,NA,226602.636647593,NA
34090,188850,219897,NA,129166.208333333,NA,NA,NA,NA,99472.7368421053,NA,117618.166666667,91333,NA,NA,NA,188159.340115206,NA,333750,NA,134999.25,97083,NA,196428,187777,NA,216382.729289932,172380,NA,139332.313374863,131310,NA,138022,178787,258846,119614,161560.2239933,300000,177855.498770077,243450,231060,NA,81666.5,NA,201415,110370,NA,NA,87332.6,NA,210960,NA,NA,,144170,209050.193774057,NA,NA,NA,NA,233740.885351554,NA
34121,188650,228279,NA,107499.625,NA,NA,NA,NA,94332.9,NA,111817.590909091,95767,NA,NA,NA,198427.658386356,NA,354081,NA,143333.166666667,95000,NA,195833,194285,NA,214806.199546203,170880,NA,140434.582804216,125600,NA,134076,180937,267021,108234,183831.243015768,306604,244588.533495022,247920,237209,NA,102727.136363636,NA,203731,117045,NA,NA,102380.833333333,NA,223450,NA,NA,,143900,201842.818765798,NA,NA,NA,NA,238267.676033552,NA
34151,190540,215408,NA,114209.815789474,NA,NA,NA,NA,102499.875,NA,109999.5,95294,NA,NA,NA,209131.801809742,NA,332291,NA,129999.5,92000,NA,218749,187143,NA,212721.24763105,169120,NA,143932.008533586,132000,NA,139249,176874,259052,115999,187469.307994838,296950,230487.380698429,256250,240686,NA,88999.1,NA,201235,115909,NA,NA,90000,NA,209600,NA,NA,,141980,208238.2705731,NA,NA,NA,NA,233733.993568495,NA
34182,189010,223888,NA,124761.666666667,NA,NA,NA,NA,98749.125,NA,107499.625,89848,NA,NA,NA,205318.881550658,NA,342727,NA,154999.25,95384,NA,189285,177332,NA,215264.225988214,182220,NA,140213.475311751,126500,NA,137130,179624,259052,105000,185600.197114345,304255,214666.026896387,250630,235606,NA,108888.444444444,NA,199564,118461,NA,NA,95499.45,NA,223630,NA,NA,,147780,207131.839154522,NA,NA,NA,NA,233880.536616112,NA
34213,186740,212005,NA,123599.82,NA,NA,NA,NA,101551.646551724,NA,110624.46875,98946,NA,NA,NA,204656.374906714,NA,340196,NA,136249.1875,97916,NA,209722,186250,NA,213515.91427877,176800,NA,137651.928195103,125000,NA,134545,173267,258019,111111,176542.811044696,315464,228774.755872343,247900,245454,NA,84999.5,NA,192941,115250,NA,NA,97940.3823529412,NA,210490,NA,NA,,147090,192039.105800672,NA,NA,NA,NA,229724.732376566,NA
34243,185920,208918,NA,119472.710526316,NA,NA,NA,NA,100588.205882353,NA,121666.583333333,88408,NA,NA,NA,196761.923630955,NA,334782,NA,140000,100000,NA,180833,167500,NA,208686.650770153,168260,NA,135952.741638562,128000,NA,133723,181805,262500,115000,170396.70844569,314204,222326.438843846,242250,232692,NA,103333.166666667,NA,194561,114042,NA,NA,97999.2,NA,208400,NA,NA,,141700,197834.929256279,NA,NA,NA,NA,228930.785020476,NA
34274,184700,215714,NA,114165.958333333,NA,NA,NA,NA,100476.166666667,NA,114999.25,91400,NA,NA,NA,192945.085984321,NA,348000,NA,129999.5,97692,NA,200000,182500,NA,215247.180008658,166000,NA,138110.133835049,124900,NA,135904,174041,263983,114062,185670.471830874,296785,205673.296648574,248930,238513,NA,72499.75,NA,193333,114736,NA,NA,105199.74,NA,205170,NA,NA,,147770,199674.792203365,NA,NA,NA,NA,242870.053887521,NA
34304,184980,207994,NA,108888.444444444,NA,NA,NA,NA,101562.421875,NA,108823.088235294,92812,NA,NA,NA,201133.82776656,NA,324166,NA,133635.681818182,103529,NA,198285,197999,NA,213687.569559142,165850,NA,134093.371397703,126000,NA,133278,175624,265384,113235,169842.671752279,296801,206951.214760225,249360,227128,NA,88499.15,NA,192909,111346,NA,NA,97058.1176470588,NA,205590,NA,NA,,146320,192622.79693589,NA,NA,NA,NA,230708.091975189,NA
34335,183046,207822,NA,122142.75,NA,NA,NA,NA,121093.6953125,NA,118180.909090909,87954,NA,90000,NA,194086.200997155,NA,314815,NA,140000,92142.6428571429,NA,222499,188888.444444444,NA,195031.268992497,173332.666666667,NA,132347.32869561,125000,NA,135973,175078,255435,113889,192359.056971023,320454,213708.059423579,245813,227083,NA,74999.5,147999.6,181739,109705,NA,NA,97999.2,NA,204880,NA,NA,,143720,190229.030105072,NA,NA,NA,NA,231828.528738317,NA
34366,182258,204389,NA,115999.2,NA,NA,NA,NA,106333.016666667,NA,102666.533333333,89523,NA,103749.8125,NA,184741.16040237,NA,348333,NA,120000,84444,NA,214772,178420.131578947,NA,192535.033107423,157999.1,NA,136215.941516875,124000,NA,132112,176060,251136,104411,179424.781457288,291249,258158.758589374,249580,226351,NA,64999.5,137726.386363636,191667,113000,NA,NA,98332.5,NA,204330,NA,NA,,143960,197937.268536738,NA,NA,NA,NA,234172.807053906,NA
34394,185472,209117,NA,114705.147058824,NA,NA,NA,NA,102830.047169811,NA,113499.325,98636,NA,96999.3,NA,184207.333648663,NA,331147,NA,135554.777777778,91818,NA,218749,180000,NA,208442.128850324,162352.823529412,NA,129581.553552058,129700,NA,131102,178454,251705,111923,177504.00275518,333593,257794.056989378,259220,243023,NA,83749.625,158460.615384615,195961,115384,NA,NA,97221.5,NA,199150,NA,NA,,145020,192553.928511319,NA,NA,NA,NA,241768.903609173,NA
34425,186968,217890,NA,124545.227272727,NA,NA,NA,NA,101212.060606061,NA,111817.590909091,92708,NA,88499.15,NA,185303.966079026,NA,367241,NA,145555.277777778,91499.85,NA,204167,178332.416666667,NA,213068.981534361,167179.128205128,NA,129293.364582273,126500,NA,131908,178853,270289,109062,173301.182724783,316270,245572.326290822,262270,238124,NA,86249.375,139353.870967742,188888,109845,NA,NA,97811.71875,NA,200640,NA,NA,,145710,199477.496603265,NA,NA,NA,NA,241086.379676208,NA
34455,185500,205494,NA,128124.59375,NA,NA,NA,NA,99867.4342105263,NA,111764.117647059,85972,NA,97856.3571428571,NA,175208.251995041,NA,344029,NA,131999.4,89165.75,NA,195000,197142,NA,209322.96650613,160555.527777778,NA,130623.668631505,128750,NA,131709,179866,265086,102500,177536.068590212,308333,216772.251603078,253050,236931,NA,68332.5,146666.333333333,186666,110667,NA,NA,90714.2142857143,NA,204815,NA,NA,,148380,193373.829349605,NA,NA,NA,NA,236685.82701855,NA
34486,189680,216705,NA,117499.125,NA,NA,NA,NA,109179.868852459,NA,112608.065217391,92750,NA,107499.625,NA,189799.793408625,NA,349074,NA,137142,110799.46,NA,198333,192856.5,NA,210070.953120567,177776.888888889,NA,132174.938830396,122000,NA,131600,176838,272260,111071,169736.348614144,318085,256696.646558716,268060,231818,NA,66999.3,156922.230769231,197872,105399,NA,NA,98665.8,NA,216071,NA,NA,,152270,201007.972173817,NA,NA,NA,NA,250808.750371794,NA
34516,188081,205912,NA,117893.842105263,NA,NA,NA,NA,95199.48,NA,106896.206896552,87187,NA,98332.5,NA,197166.328125247,NA,363114,NA,144285.5,95499.45,NA,223749,224999.5,NA,207867.036330081,171817.590909091,NA,134878.349129375,129000,NA,130625,178470,259804,107916,173022.633263493,323333,249799.439229552,248820,236538,NA,93333,163043.326086957,198038,110800,NA,NA,87272,NA,203817,NA,NA,,140430,200412.581567691,NA,NA,NA,NA,242172.980627994,NA
34547,185790,203947,NA,114799.26,NA,NA,NA,NA,96895.8620689655,NA,116550.896551724,88124,NA,109999.5,NA,193129.385960503,NA,351492,NA,116999.15,93571.0714285714,NA,230682,187272.363636364,NA,210147.522469893,171922.480769231,NA,130694.237034756,124000,NA,131896,172916,258189,106249,176838.362197138,324272,255152.692681006,257050,219499,NA,90000,NA,193000,113333,NA,NA,101333.266666667,NA,212709,NA,NA,,142440,195997.160167931,NA,NA,NA,NA,238058.004922773,NA
34578,185158,211482,NA,115499.225,NA,NA,NA,NA,96841.4210526316,NA,113499.325,86499,NA,92499.75,NA,199793.226304059,NA,341509,NA,120000,92499.75,NA,202500,182222.111111111,NA,209061.943267809,170666.133333333,NA,134488.869207426,118000,NA,131985,174615,257954,108124,178342.912582461,325000,202161.40528442,257520,232547,NA,94999.5,148461.115384615,197391,112558,NA,NA,91499.85,NA,208173,NA,NA,,144920,186490.804047747,NA,NA,NA,NA,242498.265684747,NA
